time,strain,signal_type,experiment_type,signal_value
0.1666666667,HXT4_GFP_mig1_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.1666666667,HXT4_GFP_mig1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.047695897405
0.1666666667,HXT4_GFP_mig1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.1666666667,HXT4_GFP_mig1_delta,processed_cy5,hat_glucose_0p2_percent,879.7093518500001
0.1666666667,HXT4_GFP_mth1_delta,cy5,hat_glucose_0p2_percent,710.2861842
0.1666666667,HXT4_GFP_mth1_delta,fluorescence,hat_glucose_0p2_percent,5.232174977
0.1666666667,HXT4_GFP_mth1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.7751671957499999
0.1666666667,HXT4_GFP_mth1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.1666666667,HXT4_GFP_mth1_delta,processed_cy5,hat_glucose_0p2_percent,819.1245888000001
0.1666666667,HXT4_GFP_rgt2_delta,cy5,hat_glucose_0p2_percent,800.6142857
0.1666666667,HXT4_GFP_rgt2_delta,fluorescence,hat_glucose_0p2_percent,0.05168228195
0.1666666667,HXT4_GFP_rgt2_delta,fluorescence_sem,hat_glucose_0p2_percent,0.055288977894999994
0.1666666667,HXT4_GFP_rgt2_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.1666666667,HXT4_GFP_rgt2_delta,processed_cy5,hat_glucose_0p2_percent,784.305137825
0.1666666667,HXT4_GFP_snf3_delta,cy5,hat_glucose_0p2_percent,620.85185185
0.1666666667,HXT4_GFP_snf3_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.1666666667,HXT4_GFP_snf3_delta,fluorescence_sem,hat_glucose_0p2_percent,0.041926324230000006
0.1666666667,HXT4_GFP_snf3_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.1666666667,HXT4_GFP_snf3_delta,processed_cy5,hat_glucose_0p2_percent,616.6226679250001
0.1666666667,HXT4_GFP_std1_delta,cy5,hat_glucose_0p2_percent,624.20595235
0.1666666667,HXT4_GFP_std1_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.1666666667,HXT4_GFP_std1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.05434618611
0.1666666667,HXT4_GFP_std1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
